AFR_T,LFR_T,BFR_T,D5_T,D10_T,D50_T,D90_T,AFR_V1,LFR_V1,BFR_V1,D5_V1,D10_V1,D50_V1,D90_V1,AFR_V2,LFR_V2,BFR_V2,D5_V2,D10_V2,D50_V2,D90_V2,AFR_V3,LFR_V3,BFR_V3,D5_V3,D10_V3,D50_V3,D90_V3
4.3464103,15.212435,5.4330125,8.698794,12.578121,49.987106,767.27594,3.2598076,13.03923,4.3464103,8.698067,12.575086,49.74492,766.47943,5.4330125,10.866025,5.4330125,8.681244,12.527981,50.800438,769.8211,5.4330125,10.866025,5.4330125,8.681257,12.528023,50.80072,769.82166
4.3654184,15.278964,5.456773,8.696494,12.571069,49.942245,767.15845,3.2740636,13.096254,4.3654184,8.695435,12.56702,49.69434,766.3416,5.456773,10.913546,5.456773,8.67903,12.521156,50.754528,769.7187,5.456773,10.913546,5.456773,8.679035,12.521171,50.754623,769.7189
4.3804226,15.33148,5.475528,8.695419,12.56777,49.921276,767.0997,3.285317,13.141268,4.3804226,8.694265,12.5634365,49.671883,766.2764,5.475528,10.951056,5.475528,8.677973,12.517895,50.732594,769.66504,5.475528,10.951056,5.475528,8.677975,12.5178995,50.732624,769.6651
4.391259,15.369406,5.4890738,8.694722,12.565633,49.90769,767.05945,3.2934442,13.173777,4.391259,8.693544,12.561228,49.65803,766.23413,5.4890738,10.9781475,5.4890738,8.677277,12.515749,50.71816,769.627,5.4890738,10.9781475,5.4890738,8.677278,12.515751,50.71817,769.6271
4.3978086,15.392331,5.497261,8.694136,12.563833,49.896244,767.02454,3.2983568,13.193426,4.3978086,8.692953,12.559417,49.646683,766.19836,5.497261,10.994522,5.497261,8.676687,12.513931,50.705933,769.59357,5.497261,10.994522,5.497261,8.676687,12.513931,50.705936,769.59357
4.4,15.400001,5.5,8.693576,12.562116,49.88533,766.99084,3.3,13.2,4.4,8.692395,12.557705,49.63596,766.1642,5.5,11,5.5,8.676124,12.512194,50.694244,769.56104,5.5,11,5.5,8.676125,12.512194,50.694244,769.56104
4.3978086,15.392331,5.497261,8.69302,12.560409,49.87448,766.95715,3.2983568,13.193426,4.3978086,8.691841,12.556007,49.625324,766.1301,5.497261,10.994522,5.497261,8.675563,12.510464,50.682613,769.52844,5.497261,10.994522,5.497261,8.675563,12.510465,50.682613,769.52844
4.391259,15.369406,5.4890738,8.69246,12.558694,49.863583,766.9232,3.2934442,13.173777,4.391259,8.691285,12.554304,49.61466,766.0958,5.4890738,10.9781475,5.4890738,8.675,12.508728,50.670944,769.49567,5.4890738,10.9781475,5.4890738,8.675,12.508728,50.670944,769.49567
4.3804226,15.33148,5.475528,8.6919,12.556974,49.852665,766.88916,3.285317,13.141268,4.3804226,8.690729,12.552599,49.603985,766.06146,5.475528,10.951056,5.475528,8.674437,12.5069895,50.659267,769.4628,5.475528,10.951056,5.475528,8.674437,12.506989,50.65926,769.46277
4.3654184,15.278964,5.456773,8.691342,12.555263,49.841797,766.8552,3.2740636,13.096254,4.3654184,8.690175,12.550901,49.59336,766.0272,5.456773,10.913546,5.456773,8.673875,12.505259,50.647636,769.43,5.456773,10.913546,5.456773,8.673875,12.505258,50.64763,769.43
4.3464103,15.212435,5.4330125,8.690791,12.553572,49.831066,766.82166,3.2598076,13.03923,4.3464103,8.689628,12.549223,49.582863,765.9934,5.4330125,10.866025,5.4330125,8.67332,12.503547,50.636143,769.3976,5.4330125,10.866025,5.4330125,8.67332,12.503547,50.636143,769.3976
4.323607,15.132624,5.4045086,8.69025,12.551914,49.820557,766.78876,3.242705,12.970819,4.323607,8.689091,12.547578,49.57258,765.96014,5.4045086,10.809017,5.4045086,8.672776,12.501869,50.624886,769.3658,5.4045086,10.809017,5.4045086,8.672776,12.501869,50.624886,769.3658
4.297258,15.040404,5.371572,8.689726,12.550304,49.810345,766.7568,3.2229433,12.891773,4.297258,8.688569,12.5459795,49.562588,765.92786,5.371572,10.743145,5.371572,8.672248,12.500239,50.613953,769.33484,5.371572,10.743145,5.371572,8.672248,12.500239,50.613953,769.33484
4.2676525,14.936783,5.334565,8.68922,12.548754,49.800518,766.72595,3.2007391,12.802957,4.2676525,8.688067,12.544441,49.552975,765.8967,5.334565,10.669131,5.334565,8.671739,12.498672,50.603436,769.30505,5.334565,10.669131,5.334565,8.671739,12.498672,50.603436,769.30505
4.235114,14.822899,5.2938924,8.688739,12.547277,49.791164,766.69653,3.1763356,12.705342,4.235114,8.68759,12.542977,49.543827,765.86707,5.2938924,10.587786,5.2938924,8.671255,12.497179,50.59343,769.2767,5.2938924,10.587786,5.2938924,8.671255,12.497179,50.59343,769.2767
4.2,14.700001,5.25,8.688287,12.54589,49.782375,766.66895,3.15,12.6,4.2,8.68714,12.541601,49.535233,765.8392,5.25,10.5,5.25,8.6708,12.495776,50.584026,769.25,5.25,10.5,5.25,8.6708,12.495776,50.584026,769.25
4.1626945,14.56943,5.203368,8.687868,12.544605,49.774242,766.6434,3.1220212,12.488084,4.1626945,8.686725,12.540326,49.527275,765.81335,5.203368,10.406736,5.203368,8.670379,12.494476,50.575325,769.2253,5.203368,10.406736,5.203368,8.670379,12.494476,50.575325,769.2253
4.1236067,14.432623,5.1545086,8.687488,12.543437,49.766846,766.62006,3.0927052,12.37082,4.1236067,8.686347,12.539166,49.520035,765.78986,5.1545086,10.309017,5.1545086,8.669995,12.493295,50.56741,769.20276,5.1545086,10.309017,5.1545086,8.669995,12.493295,50.56741,769.20276
4.0831647,14.291077,5.1039557,8.687149,12.542398,49.76027,766.59937,3.0623736,12.249495,4.0831647,8.68601,12.538135,49.5136,765.7689,5.1039557,10.2079115,5.1039557,8.669655,12.492244,50.560375,769.1828,5.1039557,10.2079115,5.1039557,8.669655,12.492244,50.560375,769.1828
4.0418115,14.146339,5.052264,8.686857,12.541502,49.754597,766.5815,3.0313585,12.125434,4.0418115,8.6857195,12.537245,49.50805,765.75085,5.052264,10.104528,5.052264,8.669361,12.491338,50.55431,769.1655,5.052264,10.104528,5.052264,8.669361,12.491338,50.55431,769.1655
4,14,5,8.686615,12.540761,49.749905,766.5667,3,12,4,8.68548,12.5365095,49.503464,765.73596,5,10,5,8.669119,12.490589,50.5493,769.15125,5,10,5,8.669119,12.49059,50.5493,769.15125
3.9581885,13.85366,4.947736,8.686428,12.540187,49.746277,766.55524,2.9686415,11.874566,3.9581885,8.685294,12.53594,49.499912,765.7244,4.947736,9.895472,4.947736,8.668931,12.49001,50.545425,769.14026,4.947736,9.895472,4.947736,8.668931,12.49001,50.545425,769.14026
3.9168353,13.708924,4.896044,8.686299,12.539792,49.743774,766.54736,2.9376266,11.750506,3.9168353,8.685166,12.535548,49.497467,765.7165,4.896044,9.792088,4.896044,8.668801,12.489613,50.542763,769.1327,4.896044,9.792088,4.896044,8.668801,12.489613,50.542763,769.1327
3.8763928,13.567376,4.8454914,8.686232,12.539585,49.74247,766.5433,2.907295,11.62918,3.8763928,8.6851,12.535343,49.49619,765.71234,4.8454914,9.690983,4.8454914,8.668735,12.489405,50.541374,769.1288,4.8454914,9.690983,4.8454914,8.668735,12.489405,50.541374,769.1288
3.837305,13.430569,4.796632,8.686229,12.539575,49.742405,766.54315,2.877979,11.511916,3.837305,8.685096,12.535333,49.496124,765.7122,4.796632,9.593264,4.796632,8.668732,12.489396,50.541313,769.12866,4.796632,9.593264,4.796632,8.668732,12.489396,50.541313,769.12866
